,Date,CCI
0,2008-01-01,100.1894
1,2008-01-02,100.1894
2,2008-01-03,100.1894
3,2008-01-04,100.1894
4,2008-01-05,100.1894
5,2008-01-06,100.1894
6,2008-01-07,100.1894
7,2008-01-08,100.1894
8,2008-01-09,100.1894
9,2008-01-10,100.1894
10,2008-01-11,100.1894
11,2008-01-12,100.1894
12,2008-01-13,100.1894
13,2008-01-14,100.1894
14,2008-01-15,100.1894
15,2008-01-16,100.1894
16,2008-01-17,100.1894
17,2008-01-18,100.1894
18,2008-01-19,100.1894
19,2008-01-20,100.1894
20,2008-01-21,100.1894
21,2008-01-22,100.1894
22,2008-01-23,100.1894
23,2008-01-24,100.1894
24,2008-01-25,100.1894
25,2008-01-26,100.1894
26,2008-01-27,100.1894
27,2008-01-28,100.1894
28,2008-01-29,100.1894
29,2008-01-30,100.1894
30,2008-01-31,100.1894
31,2008-02-01,99.96549
32,2008-02-02,99.7869
33,2008-02-03,99.54214
34,2008-02-04,99.32696999999999
35,2008-02-05,99.08675
36,2008-02-06,98.85785
37,2008-02-07,98.9292
38,2008-02-08,99.06283
39,2008-02-09,99.05114
40,2008-02-10,98.98926999999999
41,2008-02-11,98.90692
42,2008-02-12,98.83034
43,2008-02-13,98.7598
44,2008-02-14,98.74625
45,2008-02-15,98.94872
46,2008-02-16,99.24189
47,2008-02-17,99.43271
48,2008-02-18,99.63515
49,2008-02-19,99.8698
50,2008-02-20,100.071
51,2008-02-21,100.2189
52,2008-02-22,100.4393
53,2008-02-23,100.6335
54,2008-02-24,100.7421
55,2008-02-25,100.6817
56,2008-02-26,100.4986
57,2008-02-27,100.2195
58,2008-02-28,100.0869
59,2008-02-29,100.0787
60,2008-03-01,100.1455
61,2008-03-02,100.1926
62,2008-03-03,100.1966
63,2008-03-04,100.1974
64,2008-03-05,100.1504
65,2008-03-06,100.1092
66,2008-03-07,100.2458
67,2008-03-08,100.3817
68,2008-03-09,100.414
69,2008-03-10,100.3501
70,2008-03-11,100.1965
71,2008-03-12,100.0229
72,2008-03-13,99.78829
73,2008-03-14,99.27884
74,2008-03-15,98.73544
75,2008-03-16,98.3285
76,2008-03-17,98.12518
77,2008-03-18,97.95936999999999
78,2008-03-19,97.8969
79,2008-03-20,97.96918000000001
80,2008-03-21,98.0393
81,2008-03-22,98.10944
82,2008-03-23,98.02816999999999
83,2008-03-24,98.04892
84,2008-03-25,98.29573
85,2008-03-26,98.46746999999999
86,2008-03-27,98.56013
87,2008-03-28,98.44632
88,2008-03-29,98.12303
89,2008-03-30,97.94335
90,2008-03-31,97.85276999999999
91,2008-04-01,97.73909
92,2008-04-02,97.90281999999999
93,2008-04-03,98.20176
94,2008-04-04,98.38485
95,2008-04-05,98.36953000000001
96,2008-04-06,98.32055
97,2008-04-07,98.45573
98,2008-04-08,98.75449
99,2008-04-09,99.21552
100,2008-04-10,99.70206
101,2008-04-11,100.0572
102,2008-04-12,100.2981
103,2008-04-13,100.5101
104,2008-04-14,100.6446
105,2008-04-15,100.6611
106,2008-04-16,100.6936
107,2008-04-17,100.7069
108,2008-04-18,100.6081
109,2008-04-19,100.48200000000001
110,2008-04-20,100.4412
111,2008-04-21,100.4643
112,2008-04-22,100.436
113,2008-04-23,100.4129
114,2008-04-24,100.4026
115,2008-04-25,100.4392
116,2008-04-26,100.5283
117,2008-04-27,100.5707
118,2008-04-28,100.6667
119,2008-04-29,100.772
120,2008-04-30,100.8116
121,2008-05-01,100.8627
122,2008-05-02,100.8919
123,2008-05-03,100.9011
124,2008-05-04,100.9241
125,2008-05-05,100.8607
126,2008-05-06,100.6759
127,2008-05-07,100.4505
128,2008-05-08,100.2774
129,2008-05-09,100.2388
130,2008-05-10,100.2907
131,2008-05-11,100.39299999999999
132,2008-05-12,100.4188
133,2008-05-13,100.5105
134,2008-05-14,100.7259
135,2008-05-15,100.9474
136,2008-05-16,101.0718
137,2008-05-17,101.1429
138,2008-05-18,101.2006
139,2008-05-19,101.2886
140,2008-05-20,101.3183
141,2008-05-21,101.2813
142,2008-05-22,101.2075
143,2008-05-23,101.2538
144,2008-05-24,101.3724
145,2008-05-25,101.4344
146,2008-05-26,101.4254
147,2008-05-27,101.4233
148,2008-05-28,101.3974
149,2008-05-29,101.40700000000001
150,2008-05-30,101.3913
151,2008-05-31,101.3699
152,2008-06-01,101.3535
153,2008-06-02,101.3128
154,2008-06-03,101.2604
155,2008-06-04,101.2521
156,2008-06-05,101.2563
157,2008-06-06,101.1753
158,2008-06-07,101.0372
159,2008-06-08,100.8156
160,2008-06-09,100.56700000000001
161,2008-06-10,100.2864
162,2008-06-11,100.0243
163,2008-06-12,99.90574000000001
164,2008-06-13,99.8294
165,2008-06-14,99.82146999999999
166,2008-06-15,99.85036
167,2008-06-16,99.88689000000001
168,2008-06-17,99.88853
169,2008-06-18,99.85452
170,2008-06-19,99.83736999999999
171,2008-06-20,99.87205
172,2008-06-21,99.91458
173,2008-06-22,99.95143
174,2008-06-23,99.94388000000001
175,2008-06-24,99.81732
176,2008-06-25,99.35104
177,2008-06-26,98.71066
178,2008-06-27,98.53468000000001
179,2008-06-28,98.6497
180,2008-06-29,98.80959
181,2008-06-30,98.90777
182,2008-07-01,98.9091
