date,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,20-Day SMA,100-Day SMA,Volatility,Lag Gap
3/27/2018,GOOGL,3/27/2018,1063.9,1064.54,997.62,1006.94,2940957,0,1,1063.9,1064.54,997.62,1006.94,2940957,1006.94,1006.94,66.92,43.66
3/26/2018,GOOGL,3/26/2018,1050.6,1059.27,1010.58,1054.09,3272409,0,1,1050.6,1059.27,1010.58,1054.09,3272409,1054.09,1054.09,48.69,43.66
3/23/2018,GOOGL,3/23/2018,1051.37,1066.78,1024.87,1026.55,2413517,0,1,1051.37,1066.78,1024.87,1026.55,2413517,1026.55,1026.55,41.91,-2.72
3/22/2018,GOOGL,3/22/2018,1080.01,1083.92,1049.64,1053.15,3418154,0,1,1080.01,1083.92,1049.64,1053.15,3418154,1053.15,1053.15,34.28,53.46
3/21/2018,GOOGL,3/21/2018,1092.57,1108.7,1087.21,1094,1990515,0,1,1092.57,1108.7,1087.21,1094,1990515,1094,1094,21.49,39.42
3/20/2018,GOOGL,3/20/2018,1098.4,1105.55,1082.42,1095.8,2709310,0,1,1098.4,1105.55,1082.42,1095.8,2709310,1095.8,1095.8,23.13,4.4
3/19/2018,GOOGL,3/19/2018,1117.76,1119.37,1088.92,1100.07,3076349,0,1,1117.76,1119.37,1088.92,1100.07,3076349,1100.07,1100.07,30.45,21.96
3/16/2018,GOOGL,3/16/2018,1155.35,1156.81,1131.36,1134.42,2654602,0,1,1155.35,1156.81,1131.36,1134.42,2654602,1134.42,1134.42,25.45,55.28
3/15/2018,GOOGL,3/15/2018,1149.57,1162.5,1135.66,1150.61,1623868,0,1,1149.57,1162.5,1135.66,1150.61,1623868,1150.61,1150.61,26.84,15.15
3/14/2018,GOOGL,3/14/2018,1145.8,1159.76,1142.35,1148.89,2033697,0,1,1145.8,1159.76,1142.35,1148.89,2033697,1148.89,1148.89,17.41,-4.81
3/13/2018,GOOGL,3/13/2018,1171.83,1178,1134.57,1139.91,2129435,0,1,1171.83,1178,1134.57,1139.91,2129435,1139.91,1139.91,43.43,22.94
3/12/2018,GOOGL,3/12/2018,1165.05,1178.16,1159.2,1165.93,2129297,0,1,1165.05,1178.16,1159.2,1165.93,2129297,1165.93,1165.93,18.96,25.14
3/9/2018,GOOGL,3/9/2018,1139.5,1161,1134.29,1160.84,2070174,0,1,1139.5,1161,1134.29,1160.84,2070174,1160.84,1160.84,26.71,-26.43
3/8/2018,GOOGL,3/8/2018,1117.2,1131.44,1117.2,1129.38,1510478,0,1,1117.2,1131.44,1117.2,1129.38,1510478,1129.38,1129.38,14.24,-43.64
3/7/2018,GOOGL,3/7/2018,1092.82,1116.2,1089.91,1115.04,1537429,0,1,1092.82,1116.2,1089.91,1115.04,1537429,1115.04,1115.04,26.29,-36.56
3/6/2018,GOOGL,3/6/2018,1102.1,1105.63,1094.5,1100.9,1169068,0,1,1102.1,1105.63,1094.5,1100.9,1169068,1100.9,1100.9,11.13,-12.94
3/5/2018,GOOGL,3/5/2018,1078.13,1101.18,1072.27,1094.76,1432369,0,1,1078.13,1101.18,1072.27,1094.76,1432369,1094.76,1094.76,28.91,-22.77
3/2/2018,GOOGL,3/2/2018,1057.98,1086.89,1050.11,1084.14,2508145,0,1,1057.98,1086.89,1050.11,1084.14,2508145,1084.14,1084.14,36.78,-36.78
3/1/2018,GOOGL,3/1/2018,1109.54,1111.27,1067.29,1071.41,2766856,0,1,1109.54,1111.27,1067.29,1071.41,2766856,1071.41,1071.41,43.98,25.4
2/28/2018,GOOGL,2/28/2018,1122,1127.65,1103,1103.92,2431023,0,1,1122,1127.65,1103,1103.92,2431023,1022.675778,1103.92,24.65,50.59
2/27/2018,GOOGL,2/27/2018,1143.7,1144.25,1116.79,1117.51,2094863,0,1,1143.7,1144.25,1116.79,1117.51,2094863,1022.603624,1117.51,27.46,39.78
2/26/2018,GOOGL,2/26/2018,1131.86,1144.2,1129.34,1143.7,1489118,0,1,1131.86,1144.2,1129.34,1143.7,1489118,1022.237691,1143.7,14.86,14.35
2/23/2018,GOOGL,2/23/2018,1118.66,1129,1108.44,1128.09,1234539,0,1,1118.66,1129,1108.44,1128.09,1234539,1021.969749,1128.09,20.56,-25.04
2/22/2018,GOOGL,2/22/2018,1119.17,1125.46,1105.15,1109.9,1386115,0,1,1119.17,1125.46,1105.15,1109.9,1386115,1021.543529,1109.9,20.31,-8.92
2/21/2018,GOOGL,2/21/2018,1109.1,1136.2,1107.51,1113.75,2024534,0,1,1109.1,1136.2,1107.51,1113.75,2024534,1020.876782,1113.75,28.69,-0.8
2/20/2018,GOOGL,2/20/2018,1092.76,1116.29,1090,1103.59,1646405,0,1,1092.76,1116.29,1090,1103.59,1646405,1020.181567,1103.59,26.29,-20.99
2/16/2018,GOOGL,2/16/2018,1093.38,1108.31,1091.55,1095.5,1971928,0,1,1093.38,1108.31,1091.55,1095.5,1971928,1019.426065,1095.5,16.76,-10.21
2/15/2018,GOOGL,2/15/2018,1083.45,1094.1,1067.23,1091.36,1806206,0,1,1083.45,1094.1,1067.23,1091.36,1806206,1018.613577,1091.36,26.87,-12.05
2/14/2018,GOOGL,2/14/2018,1054.32,1075.47,1049.8,1072.7,2029979,0,1,1054.32,1075.47,1049.8,1072.7,2029979,1017.697835,1072.7,25.67,-37.04
2/13/2018,GOOGL,2/13/2018,1050,1061.22,1046.92,1054.14,1574121,0,1,1050,1061.22,1046.92,1054.14,1574121,1016.770801,1054.14,14.3,-22.7
2/12/2018,GOOGL,2/12/2018,1056.67,1065.57,1045.49,1054.56,2796258,0,1,1056.67,1065.57,1045.49,1054.56,2796258,1015.890323,1054.56,20.08,2.53
2/9/2018,GOOGL,2/9/2018,1025.88,1051.72,997,1043.43,4436032,0,1,1025.88,1051.72,997,1043.43,4436032,1014.880323,1043.43,54.72,-28.68
2/8/2018,GOOGL,2/8/2018,1059.87,1063.93,1005.12,1005.6,3067173,0,1,1059.87,1063.93,1005.12,1005.6,3067173,1013.903624,1005.6,58.81,16.44
2/7/2018,GOOGL,2/7/2018,1084.97,1086.53,1054.62,1055.41,2544683,0,1,1084.97,1086.53,1054.62,1055.41,2544683,1013.086926,1055.41,31.91,79.37
2/6/2018,GOOGL,2/6/2018,1033.98,1087.38,1030.01,1084.43,3732527,0,1,1033.98,1087.38,1030.01,1084.43,3732527,1012.2986,1084.43,57.37,-21.43
2/5/2018,GOOGL,2/5/2018,1100.61,1114.99,1056.74,1068.76,3742469,0,1,1100.61,1114.99,1056.74,1068.76,3742469,1011.599175,1068.76,58.25,16.18
2/2/2018,GOOGL,2/2/2018,1127.42,1131.3,1111.17,1119.2,5798880,0,1,1127.42,1131.3,1111.17,1119.2,5798880,1010.899127,1119.2,20.13,58.66
2/1/2018,GOOGL,2/1/2018,1175.99,1187.45,1169.36,1181.59,2774967,0,1,1175.99,1187.45,1169.36,1181.59,2774967,1010.195538,1181.59,18.09,56.79
1/31/2018,GOOGL,1/31/2018,1183.81,1186.32,1172.1,1182.22,1643877,0,1,1183.81,1186.32,1172.1,1182.22,1643877,1009.532428,1182.22,14.22,2.22
1/30/2018,GOOGL,1/30/2018,1177.72,1187.93,1174.51,1177.37,1792602,0,1,1177.72,1187.93,1174.51,1177.37,1792602,1008.674055,1177.37,13.42,-4.5
1/29/2018,GOOGL,1/29/2018,1188,1198,1184.06,1186.48,1533931,0,1,1188,1198,1184.06,1186.48,1533931,1007.59238,1186.48,13.94,10.63
1/26/2018,GOOGL,1/26/2018,1187.53,1187.56,1168.03,1187.56,1981476,0,1,1187.53,1187.56,1168.03,1187.56,1981476,1006.37439,1187.56,19.53,1.05
1/25/2018,GOOGL,1/25/2018,1180.71,1185,1171.84,1182.14,1398961,0,1,1180.71,1185,1171.84,1182.14,1398961,1005.229653,1182.14,13.16,-6.85
1/24/2018,GOOGL,1/24/2018,1184.98,1187.05,1167.4,1171.29,1818182,0,1,1184.98,1187.05,1167.4,1171.29,1818182,1004.124533,1171.29,19.65,2.84
1/23/2018,GOOGL,1/23/2018,1170.62,1178.51,1167.25,1176.17,1832126,0,1,1170.62,1178.51,1167.25,1176.17,1832126,1002.905395,1176.17,11.26,-0.67
1/22/2018,GOOGL,1/22/2018,1143.82,1166.88,1141.82,1164.16,1437954,0,1,1143.82,1166.88,1141.82,1164.16,1437954,1001.740275,1164.16,25.06,-32.35
1/19/2018,GOOGL,1/19/2018,1138.03,1143.78,1132.5,1143.5,1418376,0,1,1138.03,1143.78,1132.5,1143.5,1418376,1000.596782,1143.5,11.28,-26.13
